"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.43424946468569,0.943,0.338,0,"0","GRAP2"
0,2.77353910642608,0.974,0.37,0,"0","THEMIS"
0,1.89566968307517,0.977,0.399,0,"0","ITK"
0,2.09578276367609,0.998,0.441,0,"0","BCL11B"
0,2.21256555382219,0.95,0.395,0,"0","TCF7"
0,2.689310405239,0.994,0.44,0,"0","CAMK4"
0,2.71663597864792,0.97,0.454,0,"0","IL7R"
0,1.73228537583594,0.996,0.492,0,"0","CD96"
0,2.31451951241245,0.953,0.483,0,"0","TC2N"
0,1.66679155769906,0.997,0.601,0,"0","IKZF1"
0,1.96279717469982,0.97,0.639,0,"0","SERINC5"
0,1.62785877966615,1,0.797,0,"0","ARHGAP15"
2.20461972487281e-319,1.67412729155519,0.993,0.767,3.89115381440051e-315,"0","PDE7A"
1.72964477558687e-318,1.78465495421117,0.978,0.669,3.05282302891082e-314,"0","SARAF"
5.95003257286613e-318,2.12540792820424,0.947,0.435,1.05018074911087e-313,"0","LEF1"
7.41658245138608e-317,2.38108590142557,0.882,0.301,1.30902680266964e-312,"0","SCML4"
5.22688617697216e-316,2.67244618326759,0.853,0.29,9.22545410235587e-312,"0","NELL2"
1.99413616935964e-313,1.34321687308518,0.997,0.794,3.51965033891977e-309,"0","AAK1"
3.98550814992761e-313,1.52810440357476,0.992,0.737,7.03442188462224e-309,"0","EVL"
2.93600095138138e-312,1.6330849518569,0.999,0.584,5.18204167918814e-308,"0","FYB1"
3.97266855313788e-311,1.71755158368567,0.986,0.656,7.01175999628836e-307,"0","CCND3"
1.80909971560713e-305,2.09789198603178,0.911,0.449,3.19306099804658e-301,"0","LEPROTL1"
9.09969082419679e-305,2.35141714100393,0.871,0.31,1.60609543047073e-300,"0","GIMAP7"
3.19592541936244e-303,1.80120598580056,0.972,0.607,5.64080836517471e-299,"0","OXNAD1"
1.30393144382351e-300,1.79257467902274,0.97,0.576,2.3014389983485e-296,"0","PRKCA"
1.74522930750808e-300,1.58841234908009,0.997,0.639,3.08032972775177e-296,"0","RIPOR2"
2.14577509025513e-299,1.45637144611675,0.992,0.841,3.78729303430031e-295,"0","ATM"
5.03131425207159e-295,1.79775459580592,0.973,0.577,8.88026965490636e-291,"0","INPP4B"
1.51504579450183e-289,1.87264023213915,0.938,0.48,2.67405582729573e-285,"0","SORL1"
1.39991823474909e-288,1.55710736759654,0.999,0.582,2.47085568433214e-284,"0","SKAP1"
1.05056981456706e-283,1.81927211309163,0.958,0.533,1.85425572271086e-279,"0","TTC39C"
3.5530666612824e-280,1.79573847457964,0.932,0.409,6.27116265716344e-276,"0","CD6"
7.64807433141881e-278,1.89467402347685,0.903,0.337,1.34988511949542e-273,"0","CD3E"
1.56698259652867e-277,1.74119662444533,0.93,0.452,2.76572428287309e-273,"0","MGAT4A"
2.52305468557388e-276,1.45638130419177,0.983,0.663,4.45319152003791e-272,"0","ZC3HAV1"
1.7552947609401e-272,1.7160159584503,0.944,0.407,3.09809525305928e-268,"0","PRKCQ"
1.0571444791251e-271,2.27612506926368,0.801,0.248,1.8658600056558e-267,"0","GIMAP4"
4.92047909416058e-271,1.71426694698317,0.953,0.478,8.68464560119342e-267,"0","PAG1"
1.09902809713586e-269,1.60804723978997,0.965,0.553,1.93978459144479e-265,"0","TMC8"
2.92215724563494e-269,1.58774339090109,0.962,0.484,5.15760753854566e-265,"0","ARHGDIB"
5.46814303501049e-269,1.34610541425441,0.996,0.716,9.65127245679351e-265,"0","CLEC2D"
3.01011677461783e-266,2.46124716603327,0.734,0.176,5.31285610720048e-262,"0","TRAT1"
1.60712415957136e-265,1.60419520736238,0.959,0.463,2.83657414164345e-261,"0","TRAF3IP3"
4.66837129395565e-265,1.6668815405614,0.938,0.393,8.23967533383173e-261,"0","LCK"
1.29648760890772e-263,2.01700274056369,0.861,0.34,2.28830062972213e-259,"0","RCAN3"
1.45112629315453e-263,1.95810881153814,0.873,0.347,2.56123790741774e-259,"0","TESPA1"
4.17910364022305e-263,1.47632378119217,0.979,0.446,7.37611792499368e-259,"0","CD247"
5.74091862761631e-262,1.47286785319765,0.99,0.544,1.01327213777428e-257,"0","SLC38A1"
2.36232090737529e-261,1.37747650420931,0.997,0.676,4.16949640151739e-257,"0","ETS1"
6.22435742451147e-260,1.52950980662721,0.97,0.71,1.09859908542627e-255,"0","KIAA1551"
1.16214192427312e-259,1.6109889667053,0.918,0.357,2.05118049634206e-255,"0","SPOCK2"
1.79419464580124e-257,1.96435675837597,0.869,0.357,3.16675354983918e-253,"0","TXK"
2.02567756964256e-257,1.84611940940169,0.891,0.401,3.57532091041912e-253,"0","FGD3"
1.04000176378385e-256,1.82225687709441,0.933,0.445,1.8356031130785e-252,"0","LTB"
4.71908522152076e-256,1.58933556708799,0.958,0.543,8.32918541598413e-252,"0","EMB"
1.73075640094609e-252,1.3452490262867,0.989,0.742,3.05478504766985e-248,"0","RUNX1"
2.32237708380299e-252,1.4180341599874,0.974,0.742,4.09899555291228e-248,"0","RBL2"
7.71718374885314e-249,1.5170011113973,0.961,0.522,1.36208293167258e-244,"0","SEMA4D"
2.92152810864564e-247,1.4413055814098,0.941,0.375,5.15649711175955e-243,"0","CD2"
1.03941076771791e-245,1.61069539380556,0.974,0.718,1.83456000502211e-241,"0","PARP8"
2.96833409121618e-245,1.23389301581683,0.999,0.821,5.23910967099656e-241,"0","CDC42SE2"
1.83952999381822e-244,1.97275614328499,0.898,0.531,3.24677043908916e-240,"0","ANK3"
1.18226535392047e-241,1.74986726579829,0.953,0.697,2.08669834966963e-237,"0","RPS6"
1.85497528384828e-239,1.74829208548611,0.973,0.833,3.27403137599222e-235,"0","RPL13"
4.56360294846054e-238,1.6740797344533,0.88,0.334,8.05475920403286e-234,"0","CD28"
2.23878303980409e-237,1.9354621334247,0.811,0.286,3.95145206525423e-233,"0","CD3G"
2.09297759466815e-236,2.12261411901699,0.787,0.279,3.69410545458928e-232,"0","AC119396.1"
2.40277808856894e-236,1.2004718653406,1,0.742,4.24090332632418e-232,"0","PTPRC"
3.58509207738704e-236,1.53928893867329,0.934,0.572,6.32768751658812e-232,"0","NCK2"
2.46058146632941e-234,1.7018250284785,0.947,0.676,4.34292628807141e-230,"0","RPLP2"
1.04795199567455e-233,1.34079345979734,0.971,0.506,1.84963527236558e-229,"0","TNIK"
1.61083442418713e-232,1.56647532118567,0.96,0.626,2.84312275869028e-228,"0","ZFP36L2"
4.42518792737967e-232,1.52741771329089,0.889,0.357,7.81045669182512e-228,"0","TRAC"
7.93133515835239e-232,1.52585213490005,0.921,0.422,1.3998806554492e-227,"0","RASGRP1"
9.73228518790375e-231,1.25851834002021,0.99,0.733,1.71774833566501e-226,"0","TNFAIP8"
2.04279935443068e-228,1.72385182491697,0.96,0.77,3.60554086057015e-224,"0","RPS29"
6.19135750016602e-228,1.66994217406294,0.92,0.552,1.0927745987793e-223,"0","RPL4"
1.77640932844715e-227,1.51302068269777,0.919,0.467,3.13536246470923e-223,"0","STAT4"
2.98618140507471e-227,1.38547394623216,0.952,0.498,5.27061017995687e-223,"0","IQGAP2"
2.00808634803004e-226,1.1002667271362,1,0.863,3.54427240427303e-222,"0","ANKRD44"
3.08241500733743e-225,1.5255296573135,0.936,0.545,5.44046248795057e-221,"0","MCUB"
2.58381440895483e-224,1.17196942660589,0.996,0.672,4.56043243180528e-220,"0","PRKCH"
3.02991427948018e-223,1.67690625994292,0.95,0.683,5.34779870328252e-219,"0","RPS3"
1.19581831422216e-222,1.42133829692122,0.941,0.454,2.11061932460211e-218,"0","CARD11"
2.15559786533971e-222,1.22030568065428,0.995,0.665,3.80463023232458e-218,"0","STK17B"
2.24315301056126e-222,1.27899346793988,0.976,0.508,3.95916506364063e-218,"0","RHOH"
9.90385234308056e-222,1.34840891142836,0.95,0.563,1.74802993855372e-217,"0","SLFN5"
2.86570878083509e-220,1.65574341456651,0.957,0.71,5.05797599817393e-216,"0","RPS18"
5.62152382040581e-220,1.86931415700457,0.934,0.687,9.92198954301625e-216,"0","RPS12"
5.12322134816242e-219,1.69234436838432,0.921,0.581,9.04248567950667e-215,"0","RPS16"
5.2971654262811e-219,1.79992947672823,0.965,0.839,9.34949697738613e-215,"0","TPT1"
8.28652596222355e-219,2.94045286402583,0.622,0.156,1.46257183233246e-214,"0","APBA2"
1.13186492456043e-218,1.66956293869552,0.941,0.651,1.99774159184916e-214,"0","RPL34"
