"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.83653738918856e-96,5.18861193629427,0.982,0.177,1.20664884919178e-91,"0","CREB5"
3.05682661256169e-95,8.87932604985779,0.784,0.017,5.39529897117138e-91,"0","PRG4"
5.23444029811046e-95,4.19135537585495,0.97,0.143,9.23878712616496e-91,"0","ITGA11"
1.40153241362659e-91,5.88327254410144,0.862,0.074,2.47370471005094e-87,"0","KCNB2"
1.24221875139847e-90,4.9732700345193,0.904,0.109,2.1925160962183e-86,"0","STK32B"
2.47418597982621e-89,4.13063429726825,0.988,0.191,4.36693825439326e-85,"0","MFAP5"
1.8731298671617e-82,4.15170861596329,0.904,0.128,3.30607421554041e-78,"0","ADGRD1"
4.60796351950183e-79,4.53432408479026,0.82,0.085,8.13305561192073e-75,"0","PAMR1"
2.09697980831812e-78,4.3874436650386,0.808,0.081,3.70116936168148e-74,"0","DBN1"
3.61558234235348e-78,4.28608757809004,0.97,0.364,6.38150283425389e-74,"0","CD55"
1.81191710572265e-77,4.1537736190413,0.91,0.172,3.19803369160048e-73,"0","VCAN"
2.65682679795909e-77,3.88446245077657,0.94,0.206,4.68929929839779e-73,"0","GFPT2"
6.71766888939065e-77,6.07335110142719,0.719,0.043,1.18566855897745e-72,"0","GUCY1A2"
9.2553053116019e-75,3.16959266177913,1,0.36,1.63356138749773e-70,"0","TNXB"
9.81127928202046e-74,3.54273720330163,0.982,0.355,1.73169079327661e-69,"0","GAS7"
7.17648809297755e-73,5.66796750030387,0.671,0.028,1.26665014841054e-68,"0","OLFML2A"
1.35299903894961e-72,3.45510175006139,0.94,0.213,2.38804330374607e-68,"0","DPYSL3"
1.34433621727762e-71,3.28507747699768,1,0.877,2.37275342349501e-67,"0","FBN1"
2.26225747573803e-71,2.34725344779754,1,0.834,3.99288444467763e-67,"0","DST"
3.07185266416561e-70,3.21738043697709,0.922,0.196,5.4218199522523e-66,"0","FN1"
6.69960216899388e-70,3.44242498438379,0.916,0.217,1.18247978282742e-65,"0","PTGIS"
1.4831663136593e-69,3.8652157239423,0.802,0.109,2.61778854360867e-65,"0","EMILIN2"
1.64319521696066e-69,7.18063371183116,0.611,0.015,2.90023955793556e-65,"0","PTHLH"
2.60936396030584e-69,5.17538227376692,0.671,0.04,4.60552738993981e-65,"0","SPSB4"
1.03940937986879e-68,3.57682678179346,0.892,0.226,1.83455755546842e-64,"0","CNTN4"
1.17386335964069e-68,3.71368570888613,0.796,0.102,2.07186882976581e-64,"0","STON2"
6.68354865177804e-68,3.22613850747175,0.976,0.46,1.17964633703882e-63,"0","DOCK4"
1.56922028617294e-67,4.41102908500632,0.737,0.083,2.76967380509524e-63,"0","HUNK"
5.34977632858684e-67,3.28459784729538,0.934,0.272,9.44235521995577e-63,"0","NHSL1"
4.49236924235767e-66,2.97994200315084,0.922,0.236,7.92903171276128e-62,"0","SCARA5"
6.99632861789054e-66,3.22402373878674,0.994,0.717,1.23485200105768e-61,"0","SEMA3C"
5.39881059989425e-64,5.10985477649486,0.677,0.064,9.52890070881335e-60,"0","C17orf58"
1.08614790520046e-63,3.4310187794818,0.904,0.238,1.91705105267882e-59,"0","SH3PXD2B"
8.75752683532152e-63,4.92526375468072,0.611,0.034,1.54570348643425e-58,"0","BMP7"
2.79143493767816e-62,4.87491721796521,0.599,0.028,4.92688266500196e-58,"0","WNT10B"
9.64533061480061e-62,4.21319214761699,0.79,0.147,1.70240085351231e-57,"0","PI16"
1.01509890791421e-61,2.82413303697863,0.958,0.353,1.79164957246859e-57,"0","AXL"
1.13931833913117e-61,3.92718075429134,0.796,0.16,2.01089686856651e-57,"0","LTBP1"
1.55522442391381e-60,2.57797962262468,0.934,0.264,2.74497110820787e-56,"0","CD34"
1.9011948370358e-60,7.42038955321751,0.521,0.006,3.35560888736819e-56,"0","DACT2"
6.7531306156428e-60,2.70616319990461,0.856,0.174,1.19192755366095e-55,"0","MEDAG"
7.36293787101054e-60,2.55944490480423,0.988,0.345,1.29955853423336e-55,"0","COL1A2"
2.60266208337557e-59,3.73313916515781,0.695,0.077,4.59369857715788e-55,"0","NTN4"
9.61537250347669e-59,2.80196653896413,0.994,0.757,1.69711324686364e-54,"0","FSTL1"
1.14952278961816e-58,4.32567523821895,0.689,0.091,2.02890772367606e-54,"0","PDE1C"
1.18743750356652e-58,2.78628284255091,0.958,0.379,2.09582719379491e-54,"0","GRK5"
5.47301537763441e-58,4.60404183632921,0.605,0.045,9.65987214152474e-54,"0","FNDC1"
6.82342980446597e-58,2.62589750639128,0.958,0.317,1.20433536048824e-53,"0","ANTXR1"
1.91280236712546e-57,3.31258857463816,0.844,0.202,3.37609617797644e-53,"0","HMCN1"
2.03783007811179e-57,3.64763911053738,0.713,0.096,3.5967700878673e-53,"0","KLF4"
2.19622948081609e-57,2.53741739563696,0.928,0.309,3.8763450336404e-53,"0","CARMIL1"
3.10516077492644e-57,2.35139284655669,0.958,0.311,5.48060876774516e-53,"0","LTBP4"
4.45106074485465e-57,4.73346723315185,0.623,0.057,7.85612221466847e-53,"0","ALDH1A3"
1.01703741374686e-56,2.26144727880839,0.952,0.268,1.7950710352632e-52,"0","MRC2"
2.40414389682032e-56,2.73387116206433,0.988,0.617,4.24331397788786e-52,"0","PLXDC2"
3.19677688268372e-56,3.39973314396604,0.701,0.1,5.64231119793677e-52,"0","PDLIM7"
6.45911806816655e-56,4.63015382726737,0.79,0.209,1.1400343390314e-51,"0","KCNAB1"
6.78163062772383e-56,2.94460841029391,0.85,0.245,1.19695780579326e-51,"0","PXN"
1.09359757406838e-55,2.65262020263972,0.88,0.26,1.93019971823069e-51,"0","HEG1"
2.18592858254442e-55,4.19476968606407,0.671,0.098,3.8581639481909e-51,"0","LOXL1"
6.93134677713839e-55,2.60839957520558,0.946,0.481,1.22338270616493e-50,"0","CAMK1D"
1.36277308173017e-54,3.90247222983945,0.635,0.07,2.40529448925375e-50,"0","DPP4"
1.54976265898134e-54,3.11818457679687,0.97,0.723,2.73533109310207e-50,"0","SMURF2"
2.25095686087857e-54,3.36553802608971,0.892,0.362,3.97293885945068e-50,"0","PCSK6"
5.37881944016266e-54,2.22758329068309,0.958,0.389,9.49361631188709e-50,"0","APP"
1.45724111072392e-52,2.71527461248161,0.862,0.272,2.57203056042771e-48,"0","PROCR"
8.53502376589432e-52,2.908754520446,0.772,0.177,1.50643169468035e-47,"0","FGD5"
1.38812423935188e-51,2.16176095197836,0.946,0.485,2.45003928245607e-47,"0","SPTAN1"
3.15828724081337e-51,2.84357513778002,0.904,0.404,5.5743769800356e-47,"0","ACKR3"
4.2990417502726e-51,2.5261977485167,0.88,0.366,7.58780868923114e-47,"0","DNM1"
4.98159215488833e-51,2.38787529612052,0.904,0.332,8.7925101533779e-47,"0","LSP1"
5.6374373873733e-51,3.04749979016901,0.713,0.121,9.95007698871387e-47,"0","NT5E"
8.82813305881728e-51,3.43165692248821,0.653,0.089,1.55816548488125e-46,"0","GALNT16"
1.67919251381557e-50,3.48695463786879,0.695,0.117,2.96377478688449e-46,"0","HMCN2"
2.26781620614817e-50,6.37019682680114,0.551,0.051,4.00269560385152e-46,"0","KIRREL3"
3.53354057553685e-50,3.19739905469961,0.683,0.115,6.23669911582255e-46,"0","GLIPR2"
